,date,username,to,replies,retweets,favorites,text,classification,geo,mentions,hashtags,id,permalink,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
59209,7/1/13 0:11,Diego_Pelayo,,2,26,1,Lo que disparÃ³ la policÃ­a durante la final #MaracanÃ£ #ProtestoRJ #Brazil #CopaConfederaciones #CopaDelMundo2014pic.twitter.com/CxsRgJeaW7,Negativo,,,#MaracanÃ£ #ProtestoRJ #Brazil #CopaConfederaciones #CopaDelMundo2014pic,"3,51E+17",https://twitter.com/Diego_Pelayo/status/351493101963059201,,,,,,,,
10702,7/17/13 23:20,wizardofgore,,0,2,0,"Manifestantes aumentam no #OcupaCabral. Leblon, libere seu wifi e #vemprarua, para o #protestorj.",Positivo,,,#OcupaCabral #vemprarua #protestorj,"3,58E+17",https://twitter.com/wizardofgore/status/357641002116321281,,,,,,,,
1005,7/29/13 23:56,Juliaa_er,,0,0,0,Kaya SIWON SUPER JUNIOR! Yg perutnya kotak2..hahaha RT @ZenithSalatiga: Tipe cowo / cewe yang kamu suka seperti apa ? #MPL,Indefinido,,@ZenithSalatiga,#MPL,"3,62E+17",https://twitter.com/Juliaa_er/status/361998655500197888,,,,,,,,
40339,7/31/13 0:39,CPNews_blog,,0,0,0,"Esse mundo tÃ¡ mesmo perdido, tÃ¡ parecendo fim do mundo essas manifestaÃ§Ãµes em SP e RJ.... #MudaBrasil !",Negativo,,,#MudaBrasil,"3,62E+17",https://twitter.com/CPNews_blog/status/362371993556881411,,,,,,,,
27091,7/5/13 19:14,DontComeToBrazi,,0,2,0,"#AcordaDeNovoBrasil #VemPraRua #ChangeBrazil nÃ£o vamos voltar Ã  zona de conforto, 53% dos royalties para a educaÃ§Ã£o jÃ¡ nos foram cortados",Negativo,,,#AcordaDeNovoBrasil #VemPraRua #ChangeBrazil,"3,53E+17",https://twitter.com/DontComeToBrazi/status/353230458672259072,,,,,,,,
27758,7/5/13 12:32,dgigialira,,0,0,0,VAMOS COBRAR HONESTIDADE EM TODOS OS SETORES DA SOCIEDADE ! #vemprarua,Positivo,,,#vemprarua,"3,53E+17",https://twitter.com/dgigialira/status/353129196526108678,,,,,,,,
21678,7/10/13 1:11,ohleths,OOCharlotte,2,0,0,"@Banhuda_ @onerockvato @smaiuolo @dayannasj #vemprarua ops, nÃ£o #vemprovibe kkkkkkkkk",Indefinido,,@Banhuda_ @onerockvato @smaiuolo @dayannasj,#vemprarua #vemprovibe,"3,55E+17",https://twitter.com/ohleths/status/354769722107101184,,,,,,,,
46132,7/20/13 6:06,MhtYumru,,0,0,0,"#Protesto her dÃ¶nem,her zaman olur.Ãœzerine alÄ±nma.Ãœlkemi daha nasÄ±l #demokrasi nin beÅŸiÄŸi yaparÄ±m diye dÃ¼ÅŸÃ¼n. #ileridemokrasi deÄŸil ha!",Indefinido,,,#Protesto #demokrasi #ileridemokrasi,"3,58E+17",https://twitter.com/MhtYumru/status/358468016813514754,,,,,,,,
56416,7/3/13 3:34,BlogDoTato67,,0,2,0,"#Saindo com a deixa da noite: ""O PT, sÃ³ Fraude explica: pic.twitter.com/MPyr3ULAan"" via @galamastoide #MudaBrasil #ForaPT #BoaNoite Fui.",Negativo,,@galamastoide,#Saindo #MudaBrasil #ForaPT #BoaNoite,"3,52E+17",https://twitter.com/BlogDoTato67/status/352269204960972802,,,,,,,,
47827,7/17/13 19:26,LincolnNery1,,0,0,0,"GRANDE ATO, PAPA VEJA COMO SOMOS TRATADOS - http://lincnery.blogspot.com.br/2013/07/grande-ato-papa-veja-como-somos-tratados.html â€¦ #protestorj",Negativo,,,#protestorj,"3,58E+17",https://twitter.com/LincolnNery1/status/357582176746872833,,,,,,,,
30818,7/3/13 22:53,MarciaPsy,,0,0,0,EngraÃ§ado.... #GloboNews nÃ£o vai mostrar????? #VemPraRua http://fb.me/2neuTYBy2,Negativo,,,#GloboNews #VemPraRua,"3,53E+17",https://twitter.com/MarciaPsy/status/352560826755981313,,,,,,,,
58615,7/1/13 2:02,misojosxelmundo,,0,2,0,"#Brazil #ProtestoRJ En lo que va de manifestaciones y represiones en RÃ­o, Ã©ste es el segundo dÃ­a con la represiÃ³n mÃ¡s violenta. #Brasil",Indefinido,,,#Brazil #ProtestoRJ #Brasil,"3,52E+17",https://twitter.com/misojosxelmundo/status/351521058404319232,,,,,,,,
10023,7/18/13 12:50,venilsonl2,,0,0,0,ConsideraÃ§Ã£o 3: ParabÃ©ns ao povo do Rio de Janeiro que atacou ontem a globo! Eu apoio totalmente #OGiganteAcordou #ChangeBrazil #VamosMudar,Negativo,,,#OGiganteAcordou #ChangeBrazil #VamosMudar,"3,58E+17",https://twitter.com/venilsonl2/status/357844782808170496,,,,,,,,
44910,7/23/13 1:02,oan_max_ik,,0,0,0,"O Triste Fim de ZINGUIST, THE BEGGAR, no Frio de Porto Alegre http://razzendresss.blogspot.com/2012/10/zinguist-beggar.html?spref=tw â€¦ #ChangeBrazil JMJ Papa Laranjeiras POA Papa #ProtestoRJ",Negativo,,,#ChangeBrazil #ProtestoRJ,"3,59E+17",https://twitter.com/oan_max_ik/status/359478634270031872,,,,,,,,
36686,7/1/13 19:50,luccasphoto,,0,0,0,#VemPraRua DivinÃ³polis http://instagram.com/p/bPFVoIgZAP/,Indefinido,,,#VemPraRua,"3,52E+17",https://twitter.com/luccasphoto/status/351789925659717632,,,,,,,,
38810,7/1/13 1:45,vandersonmaia,,0,0,0,#VemPraRua #ProtestoAnimal http://fb.me/FbxATC0n,Indefinido,,,#VemPraRua #ProtestoAnimal,"3,52E+17",https://twitter.com/vandersonmaia/status/351516799671607298,,,,,,,,
25291,7/7/13 1:59,Binho_Metal,,0,0,0,Seria vÃ¡lido corelacionar o #passelivre e o primeiro emprego dos estudantes? #BrasilSemRumo,Negativo,,,#passelivre #BrasilSemRumo,"3,54E+17",https://twitter.com/Binho_Metal/status/353694615511113730,,,,,,,,
25636,7/6/13 20:09,BetoCCruz,,0,0,0,#acordabrasil http://mob.li/_egQRm,Indefinido,,,#acordabrasil,"3,54E+17",https://twitter.com/BetoCCruz/status/353606704161763329,,,,,,,,
50248,7/12/13 15:04,RuanEmmanuell,,0,2,0,Nem tudo Ã© o que parece. .. #ProtestoRJ,Negativo,,,#ProtestoRJ,"3,56E+17",https://twitter.com/RuanEmmanuell/status/355704328062906370,,,,,,,,
4271,7/25/13 1:30,e_ditora,,0,1,0,TODA AÃ§Ã£o tem uma reaÃ§Ã£o. Ã© lei de fÃ­sica. NÃ£o dÃ¡ pra fugir nem mudando de GalÃ¡xia. #ChangeBrasil #VemPraRUA... http://fb.me/1FZHj0YBX,Negativo,,,#ChangeBrasil #VemPraRUA,"3,60E+17",https://twitter.com/e_ditora/status/360210301511155712,,,,,,,,
57137,7/2/13 12:43,JORGEIT,,0,0,0,O Futebol acabou agora vamos pensar na prÃ³xima batalha! #NÃ£o queremos #Plebiscito Queremos #Sim um #ForaDilma. E os #Mensaleiros na #Cadeia,Negativo,,,#NÃ£o #Plebiscito #Sim #ForaDilma #Mensaleiros #Cadeia,"3,52E+17",https://twitter.com/JORGEIT/status/352044975783030784,,,,,,,,
26563,7/6/13 0:54,leituraeduc,,0,0,0,MilhÃµes sonegados pela Globo poderiam ser canalizados para a SaÃºde e EducaÃ§Ã£o #ogiganteacordou http://portugueseindependentnews.com/milhoes-sonegados-pela-globo-poderiam-ser-canalizados-para-a-saude-e-educacao/ â€¦,Negativo,,,#ogiganteacordou,"3,53E+17",https://twitter.com/leituraeduc/status/353315904676839424,,,,,,,,
59675,7/9/13 3:33,IsabelaNBR,,0,0,0,Horas para eleger um presidente sem preconceitos na ComissÃ£o de Direitos Humanos da CÃ¢mara. #ForaFeliciano http://www.avaaz.org/po/petition/Imediata_destituicao_do_Pr_Marco_Feliciano_da_Presidencia_da_Comissao_de_Direitos_Humanos_da_Camara_Federal/?wrsiQeb â€¦,Negativo,,,#ForaFeliciano,"3,54E+17",https://twitter.com/IsabelaNBR/status/354443254088990721,,,,,,,,
41863,7/27/13 0:41,MarcelloLobatto,,0,3,0,#foradilma #foraPT http://instagram.com/p/cP-fyCnn9i/,Indefinido,,,#foradilma #foraPT,"3,61E+17",https://twitter.com/MarcelloLobatto/status/360922829744635905,,,,,,,,
53378,7/8/13 14:12,reminiscences,gsjnilson,0,1,0,@gsjnilson @solangesad Finalmente! AlguÃ©m para gritar: #foradilma !,Positivo,,@gsjnilson @solangesad,#foradilma,"3,54E+17",https://twitter.com/reminiscences/status/354241684374171649,,,,,,,,
47031,7/18/13 5:36,RF_Machado,RF_Machado,0,0,0,"@ihamma #GloboNews #ProtestoRJ Brasil, O povo antes ""gado"" parece ter acordado e se dado conta que na verdade sao patrÃµes dos polÃ­ticos em G",Positivo,,@ihamma,#GloboNews #ProtestoRJ,"3,58E+17",https://twitter.com/RF_Machado/status/357735484513984512,,,,,,,,
19593,7/11/13 0:53,J0seNildo,,0,1,0,"11/07 ManifestaÃ§Ã£o concentra professores, petroleiros, estudantes,aposentados, metalÃºrgicos,comerciÃ¡rios, enfermeiros.. #VemPraRua MossorÃ³",Positivo,,,#VemPraRua,"3,55E+17",https://twitter.com/J0seNildo/status/355127593219002370,,,,,,,,
9400,7/18/13 23:16,rmfabio,,0,0,0,@RadarCostaVerde #Afronta ao #EstadoDemocrÃ¡tico sÃ£o os absurdos q #Cabral nos faz engolir com seus privilÃ©gios d #imperador. #VemPraRua,Negativo,,@RadarCostaVerde,#Afronta #EstadoDemocrÃ¡tico #Cabral #imperador #VemPraRua,"3,58E+17",https://twitter.com/rmfabio/status/358002287567847424,,,,,,,,
57160,7/2/13 11:59,fabiojoakim,,0,0,0,#mudabrasil http://fb.me/1vcGOEJD5,Indefinido,,,#mudabrasil,"3,52E+17",https://twitter.com/fabiojoakim/status/352033812689076225,,,,,,,,
38179,7/1/13 9:48,NicoPontes4,,0,0,0,RT @ultimosegundo: Teste: qual o seu estilo de raiva? http://bit.ly/1aucLtB aquela que #vemprarua,Negativo,,@ultimosegundo,#vemprarua,"3,52E+17",https://twitter.com/NicoPontes4/status/351638472999710721,,,,,,,,
33370,7/2/13 23:10,hazzaoniall,,0,0,0,#vemprarua http://instagram.com/p/bSBASjIj-L/,Indefinido,,,#vemprarua,"3,52E+17",https://twitter.com/hazzaoniall/status/352202764442537984,,,,,,,,
10686,7/17/13 23:35,7rrf_Qlm,,1,19,1,Hoje sim eu vou gritar #OGiganteAcordou,Positivo,,,#OGiganteAcordou,"3,58E+17",https://twitter.com/7rrf_Qlm/status/357644757905842177,,,,,,,,
30655,7/4/13 0:04,VemPraTmdSports,,0,0,0,#VemPraRua foraaaaaaaaaaaaa baquit,Negativo,,,#VemPraRua,"3,53E+17",https://twitter.com/VemPraTmdSports/status/352578616762179584,,,,,,,,
12289,7/16/13 11:54,NicoPontes4,,0,0,0,CONFIRAM o #passelivre aereo RT @radiobandnewsfm: O link para ver as informaÃ§Ãµes dos voos da FAB estÃ¡ no nosso site http://bandnewsfm.com.br,Indefinido,,@radiobandnewsfm,#passelivre,"3,57E+17",https://twitter.com/NicoPontes4/status/357105855440760832,,,,,,,,
49380,7/14/13 23:47,Ricardohuckk,,0,0,0,"isso Ã© o brasil!! Q os hospitais Ã± sabem mas diferenciar uma lesÃ£o...puta merda, #mudabrasil. http://fb.me/2N6s0C2g6",Negativo,,,#mudabrasil,"3,57E+17",https://twitter.com/Ricardohuckk/status/356560617609498624,,,,,,,,
57059,7/2/13 14:23,abreumartha,AryAntiPT,0,4,0,"@Arykara2 @Tom_brz Ã‘ sÃ£o mÃ©dicos, sÃ£o guerrilheiros treinados saÃ­dos do MST que virÃ£o doutrinar a populaÃ§Ã£o carente. #forapt #foradilma",Negativo,,@Arykara2 @Tom_brz,#forapt #foradilma,"3,52E+17",https://twitter.com/abreumartha/status/352070059067310080,,,,,,,,
54117,7/6/13 1:18,thiagotudela,,0,0,0,#brazil #saiprarua #foradilma http://instagram.com/p/bZ-ANgzSha/,Indefinido,,,#brazil #saiprarua #foradilma,"3,53E+17",https://twitter.com/thiagotudela/status/353322019816873984,,,,,,,,
19823,7/10/13 22:51,blindpunch,luuluan,1,0,0,@luuluan @xkarenzinhax VC Ã‰ MO TROXA!!! A KAREN TA TE ODIANDO E EU TO AJUDANDO ELA A ODIAR!! SHUAUSHSAUHUSH #VEMPRARUA,Negativo,,@luuluan @xkarenzinhax,#VEMPRARUA,"3,55E+17",https://twitter.com/blindpunch/status/355096869019455489,,,,,,,,
37791,7/1/13 13:16,mca0604,,0,0,0,Â¡Una afronta a la capacidad intelectual de los ciudadanos brasileÃ±os! http://www2.planalto.gov.br/imprensa/discursos/declaracion-de-la-presidenta-de-la-republica-dilma-rousseff-en-cadena-nacional-de-radio-y-television â€¦ #OGiganteAcordou #ForÃ§aBrasil #EspaÃ±a,Negativo,,,#OGiganteAcordou #ForÃ§aBrasil #EspaÃ±a,"3,52E+17",https://twitter.com/mca0604/status/351690718487646209,,,,,,,,
37696,7/1/13 13:46,arrudalo,,0,0,0,"O Renan, o GenoÃ­no, o JoÃ£o Paulo estÃ£o ainda no congresso!!!! Este Ã© mÃªs de prender os mensaleiros. #mudabrasil #vemprarua #acordabrasil",Negativo,,,#mudabrasil #vemprarua #acordabrasil,"3,52E+17",https://twitter.com/arrudalo/status/351698242557313024,,,,,,,,
52777,7/9/13 17:44,rmfabio,,0,2,0,@Brasileira_NATA CidadÃ£o #protesta AO VIVO no JH da #GloboLixo. ParabÃ©ns! http://bit.ly/1deXMR7 #protestorj,Neutro,,@Brasileira_NATA,#protesta #GloboLixo #protestorj,"3,55E+17",https://twitter.com/rmfabio/status/354657379071176706,,,,,,,,
30133,7/4/13 10:18,FalaCachoeira,,0,0,0,NÃ£o queremos saber de Egito Temos prÃ³prios problemas para resolver. #vemprarua e vamos continuar o que comeÃ§amos. Acordou e foi dormir?,Negativo,,,#vemprarua,"3,53E+17",https://twitter.com/FalaCachoeira/status/352733141271724032,,,,,,,,
53649,7/7/13 13:56,Alexandrealvo,,0,0,0,"""Ã‰ mais fÃ¡cil enganar as pessoas, do que convencÃª-las que elas foram enganadas"". #mudabrasil",Neutro,,,#mudabrasil,"3,54E+17",https://twitter.com/Alexandrealvo/status/353875072332742656,,,,,,,,
46396,7/19/13 17:45,helimarsantos,,0,0,0,#foradilma http://instagram.com/p/b9NWBTQeTP/,Indefinido,,,#foradilma,"3,58E+17",https://twitter.com/helimarsantos/status/358281337154715649,,,,,,,,
37731,7/1/13 13:35,LexQuaresma,,0,0,0,"#Globo e #ForaDilma achando q o futebol ia ""esfriar"" o povo. #SQN #VemPraRua #Brasil #PTNuncaMais http://g1.globo.com/sao-paulo/protestos/2013/cobertura/ â€¦ #SaÃºde #EducaÃ§Ã£o",Negativo,,,#Globo #ForaDilma #SQN #VemPraRua #Brasil #PTNuncaMais #SaÃºde #EducaÃ§Ã£o,"3,52E+17",https://twitter.com/LexQuaresma/status/351695523016740864,,,,,,,,
4227,7/25/13 2:28,VioletTachihara,,0,0,0,"#AcordaBrasil #Petralhas #RedeBobo "" @LauraGassert: se continuar esse resultado, o atlÃ©tico continua invicto no BR mas perde a libertadores""",Indefinido,,@LauraGassert,#AcordaBrasil #Petralhas #RedeBobo,"3,60E+17",https://twitter.com/VioletTachihara/status/360224969738829824,,,,,,,,
6961,7/22/13 15:44,ciro_queiroz,,0,0,0,O Reizinho voltou com tudo! #vasco #ogiganteacordou #gigantedacolina #maracanÃ£ http://instagram.com/p/cEtxapOeXk/,Indefinido,,,#vasco #ogiganteacordou #gigantedacolina #maracanÃ£,"3,59E+17",https://twitter.com/ciro_queiroz/status/359338162474070016,,,,,,,,
59121,7/1/13 0:24,ggrk_,,0,3,0,http://twitcasting.tv/midianinja NINJA VOLTOU! #protestorj,Indefinido,,,#protestorj,"3,51E+17",https://twitter.com/ggrk_/status/351496438607380483,,,,,,,,
24226,7/8/13 1:53,NANDOZAP,,0,0,0,#ogiganteacordou por que isso parece engraÃ§ado? pic.twitter.com/ll8LTQtRUm,Negativo,,,#ogiganteacordou,"3,54E+17",https://twitter.com/NANDOZAP/status/354055512486199296,,,,,,,,
317,7/31/13 13:31,renato_vix__es,,0,0,0,#VEMPRARUA ! ! ! >>>>>>>>>>>>>>>> VAMOS COMPARTILHAR GALERA ! ! ! http://fb.me/21wDcpvQL,Positivo,,,#VEMPRARUA,"3,63E+17",https://twitter.com/renato_vix__es/status/362566091907670016,,,,,,,,
28373,7/5/13 2:26,dktanimoto_,,0,2,0,JARRHÃƒO #vemprarua,Indefinido,,,#vemprarua,"3,53E+17",https://twitter.com/dktanimoto_/status/352976763246223360,,,,,,,,
6102,7/23/13 1:25,vempraruade10,,0,0,0,RelatÃ³rio PF - Jampa Digital http://issuu.com/clickpb/docs/xxxx â€¦ Ministro da Dilma claramente envolvido => http://twitpic.com/d44db1 #Vemprarua #ForaDilma,Negativo,,,#Vemprarua #ForaDilma,"3,59E+17",https://twitter.com/vempraruade10/status/359484373856292864,,,,,,,,
27341,7/5/13 16:24,nanrodrigues,MarcosDeManobra,1,1,0,@markbec #vemprarua,Indefinido,,@markbec,#vemprarua,"3,53E+17",https://twitter.com/nanrodrigues/status/353187616457359360,,,,,,,,
56577,7/3/13 0:35,atarde,,0,0,0,http://www.atarde.com.br/materias/1515504 â€¦ #protesto MÃ©dicos de Santo AntÃ´nio de Jesus vÃ£o Ã s ruas nesta quarta,Neutro,,,#protesto,"3,52E+17",https://twitter.com/atarde/status/352223993027235841,,,,,,,,
20315,7/10/13 17:44,LeonaraByanca12,,0,0,0,#VemPraRua lol',Neutro,,,#VemPraRua,"3,55E+17",https://twitter.com/LeonaraByanca12/status/355019688973053952,,,,,,,,
9688,7/18/13 18:21,dgigialira,,0,0,0,Querem receber Papa e copa do mundo num paÃ­s sem transporte . FEDERALISMO JÃ ! #vemprarua,Negativo,,,#vemprarua,"3,58E+17",https://twitter.com/dgigialira/status/357928048466722816,,,,,,,,
19850,7/10/13 22:34,turquim5,,0,6,0,#OGiganteAcordou e nÃ£o quer mais ser pautado por uma emissora inimiga do povo Brasileiro e amiga de Washington!! Fim do monopÃ³lio da mÃ­dia.,Negativo,,,#OGiganteAcordou,"3,55E+17",https://twitter.com/turquim5/status/355092613843533824,,,,,,,,
14373,7/13/13 16:02,OccupyWallStNYC,,0,5,0,institutions are eroding under our liquid times,Indefinido, art is becoming increasingly dimensional #Virilio #Bauman #OWS #hypermodernity #vemprarua,,,#Virilio #Bauman #OWS #hypermodernity #vemprarua,"3,56E+17",https://twitter.com/OccupyWallStNYC/status/356081116396003329,,,,,,,
15952,7/12/13 6:35,agagigante,,0,0,0,Pensa num cara louco por espiga de milho! #milho #partiusalinas ogiganteacordou #ogiganteacordouâ€¦ http://instagram.com/p/bp_JarAND0/,Neutro,,,#milho #partiusalinas #ogiganteacordou,"3,56E+17",https://twitter.com/agagigante/status/355576100396601344,,,,,,,,
40087,7/31/13 23:37,odia24horas,,2,1,1,"#Protestorj Manifestantes desocupam a Alerj e partem para a CinelÃ¢ndia pela Av. Presidente Antonio Carlos, no #Centrorj",Neutro,,,#Protestorj #Centrorj,"3,63E+17",https://twitter.com/odia24horas/status/362718729638920195,,,,,,,,
25693,7/6/13 19:26,Falabonetti,,0,0,0,"#foradilma fora Caminhoneiros parem mesmo esse paÃ­s, vamos forÃ§ar a saÃ­da dessa senhora mau intencionada dÃ¡ presidÃªncia. #vemprarua",Negativo,,,#foradilma #vemprarua,"3,54E+17",https://twitter.com/Falabonetti/status/353595812359585792,,,,,,,,
1494,7/28/13 21:32,Webertelemos,,1,0,0,#ogiganteacordou Ãguia vence Brasiliense numa virada incrÃ­vel em MarabÃ¡. 2x1,Indefinido,,,#ogiganteacordou,"3,62E+17",https://twitter.com/Webertelemos/status/361600167717253122,,,,,,,,
21903,7/9/13 21:56,oan_max_ik,,0,0,0,Operation #BigBrother > TAG hunting #anarchist http://razzendresss.blogspot.com/2013/07/movimento-radical-hashtag-anarquista.html?spref=tw â€¦ #tcot GOP New York Chicago Magna Carta STF #VemPraRua #Win Globo UK Â°,Indefinido,,,#BigBrother #anarchist #tcot #VemPraRua #Win,"3,55E+17",https://twitter.com/oan_max_ik/status/354720846478192641,,,,,,,,
36334,7/1/13 21:53,oan_max_ik,,0,0,0,ZINGUIST - THE BEGGAR http://razzendresss.blogspot.com/2012/10/zinguist-beggar.html?spref=tw â€¦ áƒ¥áƒáƒ áƒ—áƒ£áƒšáƒ˜ í•œêµ­ì–´ à´®à´²à´¯à´¾à´³à´‚ Snowden é¦™æ¸¯ Brazil MaracanÃ£ Copa #Vemprarua Paris Pelicans Rio de Janeiro Â³,Indefinido,,,#Vemprarua,"3,52E+17",https://twitter.com/oan_max_ik/status/351820904419958784,,,,,,,,
55779,7/3/13 23:27,Fabiano_pg,agenciabrasil,0,1,0,@agenciabrasil Preocupa o fato do Egito poder servir de exemplo para os brasileiros? #ChangeBrasil #MudaBrasil,Neutro,,@agenciabrasil,#ChangeBrasil #MudaBrasil,"3,53E+17",https://twitter.com/Fabiano_pg/status/352569387800207360,,,,,,,,
22811,7/9/13 15:14,krtqsr,,0,0,0,jagabaik2 buat ygterbaik :* #mpL :)),Indefinido,,,#mpL,"3,55E+17",https://twitter.com/krtqsr/status/354619570004295680,,,,,,,,
26740,7/5/13 22:45,celiabuarque,LedaNagle,0,0,0,@Lnagle2 @TerraNoticiasBR Muita farra com nosso dinheiro. #vemprarua,Negativo,,@Lnagle2 @TerraNoticiasBR,#vemprarua,"3,53E+17",https://twitter.com/celiabuarque/status/353283583764475906,,,,,,,,
36660,7/1/13 20:07,BetoFontes,,0,0,0,#VempraruaBrasil - #oGIGANTEacordou - #TodosUnidosPorUmBrasilMelhor - #VemPraRua - #Brasil - #ProtestosBrasil -... http://fb.me/1SBF0Z7Ml,Indefinido,,,#VempraruaBrasil #oGIGANTEacordou #TodosUnidosPorUmBrasilMelhor #VemPraRua #Brasil #ProtestosBrasil,"3,52E+17",https://twitter.com/BetoFontes/status/351794113227657216,,,,,,,,
52471,7/10/13 4:55,eumathiasb,,0,0,0,Programa do JÃ´ sensacional! #MudaBrasil #ChangeBrazil http://instagram.com/p/bkqFKOPbOt/,Positivo,,,#MudaBrasil #ChangeBrazil,"3,55E+17",https://twitter.com/eumathiasb/status/354826284901212160,,,,,,,,
51476,7/11/13 15:51,ebanosantos76,,0,0,0,Av. Farrapos esquina com Rua ArabutÃ£ neste momento!! #greve #manifesto #MudaBrasil @Porto Alegre/RS http://instagram.com/p/boZ9yEtTEQ/,Neutro,,@Porto,#greve #manifesto #MudaBrasil,"3,55E+17",https://twitter.com/ebanosantos76/status/355353618326626304,,,,,,,,
14303,7/13/13 18:03,igadelha,,0,2,0,"Chega de ataques infrutÃ­feros, reunamos para viabilizar esta revoluÃ§Ã£o #ReformaPolitica #VemPraRua #ChangeBrazil #foraGenoÃ­no #foraCalheiros",Negativo,,,#ReformaPolitica #VemPraRua #ChangeBrazil #foraGenoÃ­no #foraCalheiros,"3,56E+17",https://twitter.com/igadelha/status/356111749537202176,,,,,,,,
4670,7/24/13 15:10,HalissonThiago,,0,0,0,ManifestaÃ§Ã£o ocorrendo em Jacy-ParanÃ¡. A ponte estÃ¡ fechada e sem previsÃ£o de liberaÃ§Ã£o! #VemPraRua #JacyParanÃ¡ #BR364,Positivo,,,#VemPraRua #JacyParanÃ¡ #BR364,"3,60E+17",https://twitter.com/HalissonThiago/status/360054391459426305,,,,,,,,
10014,7/18/13 13:02,decofleury,,0,1,0,#MandelaDay e #VempraRua nas manifestaÃ§Ãµes no Rio e no Brasil: hÃ¡ mais em comum do que o Ã³bvio nos permite ver.,Neutro,,,#MandelaDay #VempraRua,"3,58E+17",https://twitter.com/decofleury/status/357847783232901122,,,,,,,,
45231,7/22/13 23:25,jun_wilson,,0,2,0,#protestorj #Alerta Agentes do Cabral infiltrado nas manifestaÃ§Ãµes para provocar tumultos e jogar parte da populaÃ§Ã£o contra os manifestantes,Negativo,,,#protestorj #Alerta,"3,59E+17",https://twitter.com/jun_wilson/status/359454145704497152,,,,,,,,
12872,7/15/13 18:25,MyOwnStory,,0,0,0,Wow! I love my new t-shirt! #vemprarua #ProtestoRJ #ProtestosBR #freedom #Snowden http://instagram.com/p/by-o4CqaXw/,Indefinido,,,#vemprarua #ProtestoRJ #ProtestosBR #freedom #Snowden,"3,57E+17",https://twitter.com/MyOwnStory/status/356841926877659136,,,,,,,,
49166,7/15/13 19:22,arnaldinhoborgo,,0,0,0,Conhece a Cabine Blindada do PedÃ¡gio da 3Âª Ponte!? #manifestaÃ§Ã£o #protesto http://instagram.com/p/bzFEluTTTq/,Neutro,,,#manifestaÃ§Ã£o #protesto,"3,57E+17",https://twitter.com/arnaldinhoborgo/status/356856367048429570,,,,,,,,
5208,7/23/13 22:15,glowslarry,crankdatjb,0,1,0,@watselenur ihu #vemprarua #oGiganteAcordou,Positivo,,@watselenur,#vemprarua #oGiganteAcordou,"3,60E+17",https://twitter.com/glowslarry/status/359798978251997185,,,,,,,,
12784,7/15/13 20:14,paulocrepaldi,,0,0,0,"Gostaria de entender + sobre sua opiniÃ£o nas manifestaÃ§Ãµes. Me ajude, respondendo! http://bit.ly/13mHksa #pesquisa #ogiganteacordou #brasil",Neutro,,,#pesquisa #ogiganteacordou #brasil,"3,57E+17",https://twitter.com/paulocrepaldi/status/356869386038030336,,,,,,,,
32594,7/3/13 11:06,professorigor,,0,1,0,"@maluf antigamente os cartazes nas ruas com rostos de criminosos oferecia recompensas, hoje em dia pede votos! #vemprarua",Negativo,,@maluf,#vemprarua,"3,52E+17",https://twitter.com/professorigor/status/352382731042295808,,,,,,,,
45475,7/22/13 19:51,CalineHassan,,0,0,0,Ta de sacanagem?!?! Financial Times destaca hoje o movimento Volta Lula #economia http://jb.com.br/.d7XJ #FAIL #MUDABRASIL,Negativo,,,#economia #FAIL #MUDABRASIL,"3,59E+17",https://twitter.com/CalineHassan/status/359400420117970944,,,,,,,,
13068,7/15/13 13:05,dustinthewind06,Estadao,0,2,0,Bancando a FARRA #vemprarua RT @Estadao: Despesa do governo supera inflaÃ§Ã£o e passa d R$1 trilhÃ£o pela primeira vez: http://migre.me/ftFl1,Negativo,,@Estadao,#vemprarua,"3,57E+17",https://twitter.com/dustinthewind06/status/356761462762508288,,,,,,,,
